0	0	1.432e+12
10	8.3808e+09	1.432e+12
20	1.67613e+10	1.43195e+12
30	2.51413e+10	1.43186e+12
40	3.35204e+10	1.43171e+12
50	4.18983e+10	1.43152e+12
60	5.02749e+10	1.43128e+12
70	5.86498e+10	1.43099e+12
80	6.70226e+10	1.43065e+12
90	7.53933e+10	1.43026e+12
100	8.37614e+10	1.42983e+12
110	9.21266e+10	1.42934e+12
120	1.00489e+11	1.42881e+12
130	1.08848e+11	1.42823e+12
140	1.17203e+11	1.42761e+12
150	1.25554e+11	1.42693e+12
160	1.33901e+11	1.42621e+12
170	1.42243e+11	1.42543e+12
180	1.50581e+11	1.42461e+12
190	1.58913e+11	1.42375e+12
200	1.6724e+11	1.42283e+12
210	1.75562e+11	1.42187e+12
220	1.83877e+11	1.42086e+12
230	1.92187e+11	1.4198e+12
240	2.0049e+11	1.41869e+12
250	2.08786e+11	1.41753e+12
260	2.17075e+11	1.41633e+12
270	2.25357e+11	1.41508e+12
280	2.33631e+11	1.41378e+12
290	2.41898e+11	1.41244e+12
300	2.50156e+11	1.41104e+12
310	2.58406e+11	1.4096e+12
320	2.66647e+11	1.40811e+12
330	2.74879e+11	1.40658e+12
340	2.83102e+11	1.40499e+12
350	2.91315e+11	1.40336e+12
360	2.99519e+11	1.40168e+12
370	3.07712e+11	1.39996e+12
380	3.15895e+11	1.39819e+12
390	3.24068e+11	1.39637e+12
400	3.32229e+11	1.3945e+12
410	3.40379e+11	1.39259e+12
420	3.48518e+11	1.39063e+12
430	3.56646e+11	1.38862e+12
440	3.64761e+11	1.38657e+12
450	3.72864e+11	1.38447e+12
460	3.80954e+11	1.38232e+12
470	3.89032e+11	1.38013e+12
480	3.97096e+11	1.37789e+12
490	4.05148e+11	1.3756e+12
500	4.13185e+11	1.37327e+12
510	4.21209e+11	1.37089e+12
520	4.29218e+11	1.36847e+12
530	4.37214e+11	1.366e+12
540	4.45194e+11	1.36348e+12
550	4.53159e+11	1.36092e+12
560	4.6111e+11	1.35831e+12
570	4.69044e+11	1.35566e+12
580	4.76964e+11	1.35296e+12
590	4.84867e+11	1.35022e+12
600	4.92753e+11	1.34743e+12
610	5.00624e+11	1.3446e+12
620	5.08477e+11	1.34172e+12
630	5.16313e+11	1.33879e+12
640	5.24132e+11	1.33582e+12
650	5.31934e+11	1.33281e+12
660	5.39717e+11	1.32975e+12
670	5.47483e+11	1.32664e+12
680	5.5523e+11	1.3235e+12
690	5.62959e+11	1.3203e+12
700	5.70668e+11	1.31707e+12
710	5.78359e+11	1.31379e+12
720	5.8603e+11	1.31046e+12
730	5.93682e+11	1.30709e+12
740	6.01313e+11	1.30368e+12
750	6.08925e+11	1.30022e+12
760	6.16516e+11	1.29672e+12
770	6.24087e+11	1.29318e+12
780	6.31636e+11	1.28959e+12
790	6.39165e+11	1.28596e+12
800	6.46672e+11	1.28229e+12
810	6.54157e+11	1.27858e+12
820	6.61621e+11	1.27482e+12
830	6.69062e+11	1.27102e+12
840	6.76481e+11	1.26717e+12
850	6.83878e+11	1.26329e+12
860	6.91251e+11	1.25936e+12
870	6.98602e+11	1.25539e+12
880	7.05929e+11	1.25138e+12
890	7.13232e+11	1.24732e+12
900	7.20512e+11	1.24323e+12
910	7.27768e+11	1.23909e+12
920	7.34999e+11	1.23491e+12
930	7.42206e+11	1.23069e+12
940	7.49388e+11	1.22643e+12
950	7.56545e+11	1.22213e+12
960	7.63676e+11	1.21778e+12
970	7.70783e+11	1.2134e+12
980	7.77863e+11	1.20898e+12
990	7.84918e+11	1.20451e+12
1000	7.91946e+11	1.20001e+12
1010	7.98948e+11	1.19547e+12
1020	8.05924e+11	1.19088e+12
1030	8.12872e+11	1.18626e+12
1040	8.19794e+11	1.18159e+12
1050	8.26688e+11	1.17689e+12
1060	8.33554e+11	1.17215e+12
1070	8.40393e+11	1.16737e+12
1080	8.47204e+11	1.16255e+12
1090	8.53987e+11	1.15769e+12
1100	8.60741e+11	1.15279e+12
1110	8.67466e+11	1.14786e+12
1120	8.74163e+11	1.14288e+12
1130	8.80831e+11	1.13787e+12
1140	8.87469e+11	1.13282e+12
1150	8.94078e+11	1.12774e+12
1160	9.00657e+11	1.12261e+12
1170	9.07206e+11	1.11745e+12
1180	9.13725e+11	1.11225e+12
1190	9.20213e+11	1.10701e+12
1200	9.26671e+11	1.10174e+12
1210	9.33099e+11	1.09643e+12
1220	9.39495e+11	1.09109e+12
1230	9.4586e+11	1.0857e+12
1240	9.52194e+11	1.08028e+12
1250	9.58496e+11	1.07483e+12
1260	9.64766e+11	1.06934e+12
1270	9.71004e+11	1.06382e+12
1280	9.7721e+11	1.05826e+12
1290	9.83384e+11	1.05266e+12
1300	9.89525e+11	1.04703e+12
1310	9.95633e+11	1.04136e+12
1320	1.00171e+12	1.03566e+12
1330	1.00775e+12	1.02993e+12
1340	1.01376e+12	1.02416e+12
1350	1.01973e+12	1.01836e+12
1360	1.02568e+12	1.01253e+12
1370	1.03158e+12	1.00666e+12
1380	1.03746e+12	1.00075e+12
1390	1.0433e+12	9.94818e+11
1400	1.0491e+12	9.88849e+11
1410	1.05487e+12	9.82848e+11
1420	1.0606e+12	9.76814e+11
1430	1.0663e+12	9.70748e+11
1440	1.07197e+12	9.6465e+11
1450	1.0776e+12	9.5852e+11
1460	1.08319e+12	9.52359e+11
1470	1.08875e+12	9.46165e+11
1480	1.09427e+12	9.39941e+11
1490	1.09976e+12	9.33686e+11
